"indicator","sector","emissions_source","total_impact","total_impact_units","impact_per_purchase","impact_per_purchase_units","group_detail"
"Carbon dioxide","111-112","325510/US",7747.91119798112,"tons",24.2342232678062,"kg / million $","Manufacturing"
"Carbon dioxide","111-112","325520/US",37597.2329864523,"tons",117.598113241518,"kg / million $","Manufacturing"
"Carbon dioxide","111-112","325610/US",45805.3265304212,"tons",143.271713062772,"kg / million $","Manufacturing"
"Carbon dioxide","111-112","325620/US",523.114541707667,"tons",1.63621836575554,"kg / million $","Manufacturing"
"Carbon dioxide","111-112","325910/US",3749.97318997228,"tons",11.729314548385,"kg / million $","Manufacturing"
"Carbon dioxide","111-112","3259A0/US",83680.6723244724,"tons",261.739718550183,"kg / million $","Manufacturing"
"Carbon dioxide","111-112","326110/US",35159.8326367568,"tons",109.974315967881,"kg / million $","Manufacturing"
"Carbon dioxide","111-112","326120/US",15030.9572595384,"tons",47.0144229649174,"kg / million $","Manufacturing"
"Carbon dioxide","111-112","326130/US",3709.69314310333,"tons",11.6033250237098,"kg / million $","Manufacturing"
"Carbon dioxide","111-112","326140/US",11184.9656576796,"tons",34.9847782279155,"kg / million $","Manufacturing"
"Carbon dioxide","111-112","326150/US",5399.96032882049,"tons",16.8902096193399,"kg / million $","Manufacturing"
"Carbon dioxide","111-112","326160/US",3239.0207860836,"tons",10.1311373986151,"kg / million $","Manufacturing"
"Carbon dioxide","111-112","326190/US",42981.1041803263,"tons",134.437998627847,"kg / million $","Manufacturing"
"Carbon dioxide","111-112","326210/US",80397.7921687708,"tons",251.471396079547,"kg / million $","Manufacturing"
"Carbon dioxide","111-112","326220/US",7199.56330697761,"tons",22.519079033516,"kg / million $","Manufacturing"
"Carbon dioxide","111-112","326290/US",7181.12206671219,"tons",22.4613977924036,"kg / million $","Manufacturing"
"Carbon dioxide","111-112","327100/US",16604.3731083094,"tons",51.9358153244682,"kg / million $","Manufacturing"
"Carbon dioxide","111-112","327200/US",81309.5273500104,"tons",254.323157461251,"kg / million $","Manufacturing"
"Carbon dioxide","111-112","327310/US",395265.499362908,"tons",1236.32707149736,"kg / million $","Manufacturing"
"Carbon dioxide","111-112","327320/US",7511.12048560441,"tons",23.493579906667,"kg / million $","Manufacturing"
"Carbon dioxide","111-112","327330/US",925.622317592828,"tons",2.89519811637152,"kg / million $","Manufacturing"
"Carbon dioxide","111-112","327390/US",639.856479464843,"tons",2.00136841872219,"kg / million $","Manufacturing"
"Carbon dioxide","111-112","327400/US",154521.211356948,"tons",483.317560042752,"kg / million $","Manufacturing"
"Carbon dioxide","111-112","327910/US",847.338507500555,"tons",2.65033891709146,"kg / million $","Manufacturing"
"Carbon dioxide","111-112","327991/US",55.6321894225701,"tons",0.174008563713888,"kg / million $","Manufacturing"
