"indicator","sector","emissions_source","total_impact","total_impact_units","impact_per_purchase","impact_per_purchase_units","group_detail"
"Releases to Ground","111/112","334516/US",3.7353789327241e-06,"tons",1.1683666052998e-08,"kg / million $","Manufacturing"
"Releases to Ground","111/112","334517/US",2.16701457695006e-08,"tons",6.77807395315558e-11,"kg / million $","Manufacturing"
"Releases to Ground","111/112","33451A/US",6.39938107299048e-06,"tons",2.00162373749243e-08,"kg / million $","Manufacturing"
"Releases to Ground","111/112","334610/US",1.73688364650919e-07,"tons",5.43269340653685e-10,"kg / million $","Manufacturing"
"Releases to Ground","111/112","335110/US",4.45119009855328e-06,"tons",1.39226085456292e-08,"kg / million $","Manufacturing"
"Releases to Ground","111/112","335120/US",0.000327625687177617,"tons",1.02476059010584e-06,"kg / million $","Manufacturing"
"Releases to Ground","111/112","335210/US",1.13726493715505e-06,"tons",3.55718227757239e-09,"kg / million $","Manufacturing"
"Releases to Ground","111/112","335220/US",2.00954443121418e-05,"tons",6.28553259945862e-08,"kg / million $","Manufacturing"
"Releases to Ground","111/112","335311/US",1.13056977775657e-05,"tons",3.53624089304558e-08,"kg / million $","Manufacturing"
"Releases to Ground","111/112","335312/US",0.000194221443913535,"tons",6.07493518565719e-07,"kg / million $","Manufacturing"
"Releases to Ground","111/112","335313/US",0.00010250944341281,"tons",3.20633093906896e-07,"kg / million $","Manufacturing"
"Releases to Ground","111/112","335314/US",3.79634527393357e-05,"tons",1.18743589877695e-07,"kg / million $","Manufacturing"
"Releases to Ground","111/112","335911/US",0.011320735674436,"tons",3.54094450594099e-05,"kg / million $","Manufacturing"
"Releases to Ground","111/112","335912/US",6.11624885079861e-06,"tons",1.9130645205425e-08,"kg / million $","Manufacturing"
"Releases to Ground","111/112","335920/US",0.0578671511362823,"tons",0.000180999165410409,"kg / million $","Manufacturing"
"Releases to Ground","111/112","335930/US",0.00104072260813109,"tons",3.25521336019886e-06,"kg / million $","Manufacturing"
"Releases to Ground","111/112","335991/US",0.120654663231924,"tons",0.000377388430552265,"kg / million $","Manufacturing"
"Releases to Ground","111/112","335999/US",0.000224779452681863,"tons",7.0307406772124e-07,"kg / million $","Manufacturing"
"Releases to Ground","111/112","336111/US",8.01276057501549e-06,"tons",2.50626296306801e-08,"kg / million $","Manufacturing"
"Releases to Ground","111/112","336112/US",3.36255541228801e-07,"tons",1.05175338913269e-09,"kg / million $","Manufacturing"
"Releases to Ground","111/112","336120/US",7.63908925070319e-07,"tons",2.38938456744933e-09,"kg / million $","Manufacturing"
"Releases to Ground","111/112","336211/US",2.97240622589419e-06,"tons",9.29720982601177e-09,"kg / million $","Manufacturing"
"Releases to Ground","111/112","336212/US",2.98348721292107e-05,"tons",9.33186937576333e-08,"kg / million $","Manufacturing"
"Releases to Ground","111/112","336214/US",3.04487806528723e-07,"tons",9.52389011333068e-10,"kg / million $","Manufacturing"
"Releases to Ground","111/112","336310/US",0.0148015710903862,"tons",4.62969398271101e-05,"kg / million $","Manufacturing"
"Releases to Ground","111/112","336320/US",0.000978426771878449,"tons",3.06036197821674e-06,"kg / million $","Manufacturing"
"Releases to Ground","111/112","336350/US",0.000952939220606869,"tons",2.98064100668237e-06,"kg / million $","Manufacturing"
"Releases to Ground","111/112","336360/US",7.48182439885816e-05,"tons",2.34019464471526e-07,"kg / million $","Manufacturing"
"Releases to Ground","111/112","336370/US",0.00148068422150526,"tons",4.63134270594458e-06,"kg / million $","Manufacturing"
"Releases to Ground","111/112","336390/US",0.0329706369031368,"tons",0.000103126862915076,"kg / million $","Manufacturing"
